serial no,distance,latitude,longitude
1.0,0.0,22.83191,91.45367299999998
2.0,25.0,22.831689089936862,91.45362283595887
3.0,50.0,22.831468179851807,91.45357267207964
4.0,75.0,22.831247269744836,91.45352250836237
5.0,100.0,22.83102635961594,91.45347234480704
6.0,125.0,22.830805449465117,91.4534221814136
7.0,150.0,22.83058453929239,91.45337201818211
8.0,175.0,22.830363629097736,91.45332185511256
9.0,200.0,22.830142718881163,91.45327169220485
10.0,225.0,22.829921808642677,91.45322152945914
11.0,250.0,22.82970089838227,91.45317136687527
12.0,275.0,22.82947998809994,91.4531212044534
13.0,300.0,22.8292590777957,91.45307104219336
14.0,325.0,22.829038167469534,91.45302088009521
15.0,350.0,22.828817257121464,91.45297071815901
16.0,375.0,22.828596346751468,91.4529205563847
17.0,400.0,22.828375436359554,91.45287039477233
18.0,425.0,22.828154525945724,91.4528202333218
19.0,450.0,22.82793361550998,91.45277007203322
20.0,475.0,22.82771270505232,91.45271991090647
21.0,500.0,22.827491794572747,91.45266974994166
22.0,525.0,22.82727088407126,91.45261958913875
23.0,550.0,22.827049973547854,91.45256942849767
24.0,575.0,22.826829063002542,91.45251926801848
25.0,600.0,22.826608152435305,91.45246910770118
26.0,625.0,22.826387241846156,91.45241894754582
27.0,650.0,22.826166331235097,91.45236878755225
28.0,675.0,22.82594542060212,91.45231862772062
29.0,700.0,22.82572450994723,91.45226846805082
30.0,725.0,22.82550359927043,91.45221830854291
31.0,750.0,22.825282688571715,91.45216814919684
32.0,775.0,22.82506177785109,91.45211799001265
33.0,800.0,22.82484086710855,91.45206783099036
34.0,825.0,22.824619956344097,91.4520176721299
35.0,850.0,22.82439904555774,91.45196751343133
36.0,875.0,22.824178134749467,91.45191735489459
37.0,900.0,22.823957223919276,91.45186719651969
38.0,925.0,22.823736313067183,91.45181703830667
39.0,950.0,22.823515402193177,91.45176688025549
40.0,975.0,22.823294491297258,91.45171672236614
41.0,1000.0,22.823073580379432,91.45166656463863
42.0,1025.0,22.82285266943969,91.451616407073
43.0,1050.0,22.822631758478046,91.45156624966916
44.0,1075.0,22.822410847494492,91.4515160924272
45.0,1100.0,22.82218993648902,91.45146593534707
46.0,1125.0,22.821969025461648,91.45141577842878
47.0,1150.0,22.82174811441237,91.45136562167232
48.0,1175.0,22.821527203341176,91.45131546507764
49.0,1200.0,22.821306292248078,91.45126530864485
50.0,1225.0,22.82108538113307,91.45121515237389
51.0,1250.0,22.82086446999616,91.45116499626471
